TotalGroups,TotalTypes,Index,Group
1,264.35,-191.1,0
2,-296.95,-189.7,0
3,318.05,-189.7,0
4,8.85,-189.5,0
5,-235.45,-187.5,0
6,131.65,-186.9,0
7,240.85,-186.4,0
8,-88.15,-185.9,0
9,294.55,-184.6,0
10,-273.65,-183.7,0
11,-44.25,-182.9,0
12,31.45,-181.3,0
13,55.45,-180.8,0
14,-180.15,-178.5,0
15,-136.55,-178.4,0
16,187.35,-177.3,0
17,153.45,-176.8,0
18,219.25,-175.9,0
19,-66.85,-174.9,0
20,82.65,-174.8,0
21,-215.85,-173.6,0
22,-108.25,-172.8,0
23,-20.65,-172.3,0
24,105.55,-167.6,0
25,-290.55,-166.6,0
26,-159.35,-166.6,0
27,-316.55,-166.1,0
28,274.95,-165.8,0
29,10.25,-165.5,0
30,-263.95,-161.8,0
31,235.95,-158.7,0
32,299.95,-157.8,0
33,204.05,-157.3,0
34,-126.15,-156.8,0
35,66.75,-156.8,0
36,-189.85,-156.6,0
37,165.95,-156.2,0
38,42.75,-156,0
39,138.45,-153.3,0
40,-75.55,-152.4,0
41,-221.45,-150.3,0
42,-28.25,-149.5,0
43,-52.15,-147.2,0
44,-102.15,-145.8,0
45,-302.35,-145.7,0
46,114.55,-145.4,0
47,281.35,-142.7,0
48,3.25,-142.5,0
49,185.45,-142.2,0
50,-247.85,-139,0
51,-149.75,-137.9,0
52,-202.15,-136,0
53,89.65,-135.8,0
54,154.25,-135.2,0
55,26.05,-135.1,0
56,-122.55,-133.1,0
57,316.25,-133.1,0
58,-173.05,-132.1,0
59,-283.05,-131.4,0
60,51.65,-129.1,0
61,-16.35,-128.7,0
62,-72.15,-128.6,0
63,257.35,-125.6,0
64,226.95,-122.9,0
65,-95.45,-122.8,0
66,-218.95,-118.9,0
67,179.65,-118.1,0
68,-51.95,-115.6,0
69,-242.75,-115.5,0
70,-155.85,-114.7,0
71,3.05,-114.6,0
72,74.45,-114.5,0
73,-266.65,-113.9,0
74,204.85,-113.6,0
75,98.45,-113.5,0
76,122.45,-113.1,0
77,34.25,-112.5,0
78,300.65,-111.2,0
79,-132.15,-111.1,0
80,145.85,-107.6,0
81,273.15,-107.6,0
82,-290.55,-106.3,0
83,-29.95,-105.9,0
84,-177.85,-105,0
85,-201.65,-102.2,0
86,229.75,-99.1,0
87,167.55,-97.4,0
88,-112.75,-97,0
89,-230.95,-94.6,0
90,253.25,-94.1,0
91,191.25,-93.8,0
92,-149.65,-91.5,0
93,-272.45,-90.6,0
94,312.95,-90.6,0
